risk_rank,unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status,peer_median,peer_count,peer_baseline,cost_deviation_pct,cost_risk,contractor_peer_count,contractor_project_count,contractor_concentration,contractor_risk,similar_project_id,similar_project_name,text_similarity,text_similarity_risk,cost_contribution,contractor_contribution,text_similarity_contribution,risk_score,risk_band,anomaly_score,anomaly_flag,top_risk_signal,risk_explanation,rf_anomaly_probability,rf_anomaly_prediction
1,WS/68652/2024/00909,Jammu And Kashmir,JAMMU,ABU TAHER KHAN,Drainage / Nala,"Covered drain construction from Shanti Nagar to Vivekanand Marg, JAMMU",5280276.27,2024-08-26,2025-07-16,Deep Construction Co.,New Recommendation,837027.615,6,constituency + work_category,530.8365668437355,100.0,6,2,0.3333333333333333,33.33333333333333,WS/83273/2024/00330,"Covered drain construction from Shanti Nagar to Panchayat Bhavan Marg, JAMMU",0.9120503493473038,91.20503493473038,45.0,9.999999999999998,22.801258733682594,77.8012587336826,High,99.89888776541962,True,Cost Anomaly,Sanction amount is 530.8% above the constituency + work_category peer median.,73.12806097227677,1
2,WS/20322/2024/00908,Maharashtra,AURANGABAD_MH,PRIYA VERMA,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_MH",1470341.76,2024-01-23,2024-06-13,National Builders & Contractors,Sanctioned,358807.4,9,constituency + work_category,309.7857959451226,100.0,9,2,0.2222222222222222,22.22222222222222,WS/79501/2024/00545,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_BR",0.9972956045408594,99.72956045408594,45.0,6.666666666666666,24.932390113521485,76.59905678018815,High,99.29221435793731,True,Cost Anomaly,Sanction amount is 309.8% above the constituency + work_category peer median.,80.28230044641701,1
3,WS/14050/2025/00981,Kerala,ATTINGAL,ABU TAHER KHAN,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, VARANASI",1598771.73,2025-02-04,2025-06-16,New India Construction Co.,Sanctioned,268886.61,5,constituency + work_category,494.5895669553795,100.0,5,1,0.2,20.0,WS/24779/2024/00980,"Solar light installation near Andouli hanuman mandir, VARANASI",0.9999999999999999,99.99999999999999,45.0,6.0,24.999999999999996,76.0,High,99.79777553083923,True,Cost Anomaly,Sanction amount is 494.6% above the constituency + work_category peer median.,66.21187722218761,1
4,WS/57540/2024/00904,West Bengal,MURSHIDABAD,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, MURSHIDABAD",2240447.61,2024-01-02,2024-04-26,Om Sai Infra Pvt Ltd,Completed,400792.35,11,constituency + work_category,459.00458429408644,100.0,11,2,0.18181818181818182,18.181818181818183,WS/42728/2023/00420,"Installation of handpump at Bazaar Road village, MURSHIDABAD",1.0000000000000004,100.0,45.0,5.454545454545455,25.0,75.45454545454545,High,99.69666329625885,True,Cost Anomaly,Sanction amount is 459.0% above the constituency + work_category peer median.,57.867764291482736,1
5,WS/97706/2023/00915,Jammu And Kashmir,BARAMULLAH,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Ram Nagar road, BARAMULLAH",1133939.13,2023-06-14,2023-12-05,Sri Lakshmi Contractors,Sanctioned,293101.97,7,constituency + work_category,286.87530145225566,95.62510048408522,7,2,0.2857142857142857,28.57142857142857,WS/38014/2025/00704,"LED streetlight installation along Ram Nagar road, AURANGABAD_BR",0.9526117300165586,95.26117300165586,43.03129521783835,8.571428571428571,23.815293250413966,75.41801703968088,High,99.19110212335693,True,Cost Anomaly,Sanction amount is 286.9% above the constituency + work_category peer median.,81.90671894819208,1
6,WS/24779/2024/00980,Bihar,PATNA_SAHIB,MEERA IYER,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, VARANASI",2207174.11,2024-02-03,2024-09-20,United Rural Builders,Sanctioned,179785.09,13,constituency + work_category,1127.6736129786957,100.0,13,2,0.15384615384615385,15.384615384615385,WS/14050/2025/00981,"Solar light installation near Andouli hanuman mandir, VARANASI",0.9999999999999999,99.99999999999999,45.0,4.615384615384615,24.999999999999996,74.61538461538461,High,100.0,True,Cost Anomaly,Sanction amount is 1127.7% above the constituency + work_category peer median.,62.76242778261631,1
7,WS/82129/2024/00971,Jammu And Kashmir,SRINAGAR,AASHTIKAR PATIL NAGESH BAPURAO,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",1326639.71,2024-07-07,2025-03-04,Bharat Infra Solutions,Completed,262058.81,9,constituency + work_category,406.23740144435516,100.0,9,1,0.1111111111111111,11.11111111111111,WS/58467/2024/00972,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",1.0,100.0,45.0,3.333333333333333,25.0,73.33333333333334,High,99.59555106167846,True,Cost Anomaly,Sanction amount is 406.2% above the constituency + work_category peer median.,69.5511039314078,1
8,WS/69612/2025/00911,Maharashtra,HINGOLI,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Vivekanand Marg panchayat, HINGOLI",12663789.2,2025-12-18,2026-04-01,Metro Civil Works Pvt Ltd,Completed,2558946.56,7,constituency + work_category,394.88290994244124,100.0,7,1,0.14285714285714285,14.285714285714285,WS/25389/2025/00191,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, HINGOLI",0.9433826618638281,94.33826618638281,45.0,4.285714285714286,23.584566546595703,72.87028083230999,High,99.49443882709808,True,Cost Anomaly,Sanction amount is 394.9% above the constituency + work_category peer median.,70.4585711627148,1
9,WS/42088/2025/00914,Bihar,AURANGABAD_BR,SANJAY DESHMUKH,Community Hall,"Construction of community hall at Kisan Nagar, AURANGABAD_BR",13905577.07,2025-02-27,2025-05-19,Jai Hind Infrastructure,Completed,3668526.11,13,constituency + work_category,279.0507864205988,93.01692880686626,13,2,0.15384615384615385,15.384615384615385,WS/31090/2023/00304,"Construction of community hall at Kisan Nagar, AURANGABAD_BR",1.0000000000000004,100.0,41.857617963089815,4.615384615384615,25.0,71.47300257847442,High,99.08998988877654,True,Cost Anomaly,Sanction amount is 279.1% above the constituency + work_category peer median.,71.47311757506839,1
10,WS/72575/2024/00903,Uttar Pradesh,BADAUN,ADV ADOOR PRAKASH,Solar Light Installation,"Solar street light at Vivekanand Marg chowk parisar, BADAUN",1256885.47,2024-10-24,2025-10-28,Om Sai Infra Pvt Ltd,Sanctioned,280651.87,22,state + work_category,347.845036628475,100.0,22,2,0.09090909090909091,9.090909090909092,WS/67780/2024/00913,"Solar street light at Vivekanand Marg chowk parisar, AURANGABAD_MH",0.9408881203832832,94.08881203832831,45.0,2.7272727272727275,23.52220300958208,71.2494757368548,High,99.3933265925177,True,Cost Anomaly,Sanction amount is 347.8% above the state + work_category peer median.,73.092194702787,1
