unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status
WS/86756/2023/00379,Bihar,AURANGABAD_BR,PRIYA VERMA,Water Supply / Handpump,"Installation of handpump at Andouli village, AURANGABAD_BR",282814.03,07-04-2023,29-04-2024,Deep Construction Co.,Completed
WS/40254/2023/00625,Uttar Pradesh,VARANASI,ABU TAHER KHAN,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, VARANASI",259122.16,04-08-2023,08-02-2024,Metro Civil Works Pvt Ltd,Sanctioned
WS/98250/2023/00936,Kerala,KOTTAYAM,SANJAY DESHMUKH,Community Hall,"Multipurpose community centre building at Gandhi Chowk panchayat, KOTTAYAM",3699017.9,27-12-2023,31-07-2024,Ganesh Engineering Works,Sanctioned
WS/76577/2025/00523,Bihar,PATNA_SAHIB,MEERA IYER,Solar Light Installation,"Solar light installation near Ram Nagar hanuman mandir, PATNA_SAHIB",159780.54,26-05-2025,19-01-2026,Jai Hind Infrastructure,Ongoing
WS/57381/2025/00919,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Road Construction,Construction of concrete road from Subhash Nagar to Ambedkar Colony in HOWRAH,2479278.26,01-06-2025,10-02-2026,Om Sai Infra Pvt Ltd,Completed
WS/83420/2023/00356,Uttar Pradesh,LUCKNOW,MEERA IYER,Community Hall,"Multipurpose community centre building at Bazaar Road panchayat, LUCKNOW",2408356.19,26-05-2023,16-11-2023,Metro Civil Works Pvt Ltd,New Recommendation
WS/12180/2024/00174,Uttar Pradesh,VARANASI,ANITA JOSHI,Solar Light Installation,"Solar light installation near Vivekanand Marg hanuman mandir, VARANASI",278399.94,14-08-2024,28-07-2025,Bharat Infra Solutions,Sanctioned
WS/99573/2023/00365,Maharashtra,NAGPUR,ABU TAHER KHAN,Road Construction,Construction of concrete road from Nehru Path to Shanti Nagar in NAGPUR,1939432.1,22-10-2023,05-05-2024,National Builders & Contractors,New Recommendation
WS/37521/2024/00878,Bihar,AURANGABAD_BR,ABU TAHER KHAN,Community Hall,"Construction of community hall at Station Road, AURANGABAD_BR",3818119.89,02-01-2024,28-03-2024,Progressive Engineers & Contractors,Ongoing
WS/51472/2024/00925,Bihar,GAYA,PRIYA VERMA,Road Construction,"Widening and strengthening of road near Ram Nagar village, GAYA",1055860.68,13-07-2024,25-11-2024,Shree Balaji Construction Co.,Sanctioned
WS/79494/2024/00569,Uttar Pradesh,BADAUN,ADV GOWAAL KAGADA PADAVI,Community Hall,"Multipurpose community centre building at Ram Nagar panchayat, BADAUN",2546964.68,23-10-2024,21-04-2025,Ganesh Engineering Works,Completed
WS/38919/2024/00881,Kerala,ERNAKULAM,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar light installation near Vivekanand Marg hanuman mandir, ERNAKULAM",319180.37,09-12-2024,16-11-2025,Ganesh Engineering Works,Sanctioned
WS/31368/2025/00610,Jammu And Kashmir,BARAMULLAH,ABU TAHER KHAN,Streetlight Installation,"Installation of streetlights at Ram Nagar chowk, BARAMULLAH",276637.99,06-06-2025,10-04-2026,Sri Lakshmi Contractors,New Recommendation
WS/93695/2025/00097,Maharashtra,PUNE,RAVI SHANKAR PRASAD JI,Road Construction,"CC road construction at Vivekanand Marg ward, PUNE",1573136.25,17-02-2025,30-08-2025,Jai Hind Infrastructure,Sanctioned
WS/63950/2025/00807,West Bengal,KANTHI,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, KANTHI",585457.54,03-02-2025,16-10-2025,Jai Hind Infrastructure,New Recommendation
WS/78674/2024/00212,West Bengal,MURSHIDABAD,RAJESH KUMAR SHARMA,Drainage / Nala,"Construction of drainage/nala near Andouli area, MURSHIDABAD",425962.68,11-10-2024,17-08-2025,National Builders & Contractors,Completed
WS/61773/2023/00288,Maharashtra,PUNE,ABHIJIT GANGOPADHYAY,Road Construction,"Widening and strengthening of road near Ambedkar Colony village, PUNE",2401877.12,22-05-2023,15-10-2023,Jai Hind Infrastructure,Sanctioned
WS/26912/2025/00160,West Bengal,HOWRAH,ANITA JOSHI,Community Hall,"Construction of community hall at Subhash Nagar, HOWRAH",1820836.53,27-07-2025,04-07-2026,Progressive Engineers & Contractors,Ongoing
WS/84912/2025/00275,West Bengal,MURSHIDABAD,ADV K FRANCIS GEORGE,Drainage / Nala,"Construction of drainage/nala near Vivekanand Marg area, MURSHIDABAD",674630.94,07-04-2025,16-11-2025,Bharat Infra Solutions,Completed
